,iter,score,time,event,passes,iteration
0,9,62,1.692777156829834,normal,9,0
1,18,63,1.2129807472229004,normal,9,0
2,26,62,0.9279813766479492,normal,8,0
3,35,92,1.0246715545654297,normal,9,0
4,39,101,0.44844722747802734,normal,4,0
5,47,68,1.2501487731933594,normal,8,0
6,54,56,0.9478151798248291,normal,7,0
7,62,79,1.2127513885498047,normal,8,0
8,68,74,0.7343370914459229,normal,6,0
9,77,84,1.202047348022461,normal,9,0
10,84,80,1.0067164897918701,normal,7,0
11,90,64,1.1325254440307617,normal,6,0
12,96,86,1.1179587841033936,normal,6,0
13,100,84,0.47129225730895996,normal,4,0
0,9,82,1.0972766876220703,normal,9,1
1,19,88,1.1409213542938232,normal,10,1
2,28,73,1.690614938735962,normal,9,1
3,40,60,2.2567942142486572,normal,12,1
4,48,85,1.5038206577301025,normal,8,1
5,59,85,1.812856674194336,normal,11,1
6,67,71,1.4998407363891602,normal,8,1
7,75,45,1.5025992393493652,normal,8,1
8,85,57,1.8871941566467285,normal,10,1
9,93,89,0.9984815120697021,normal,8,1
10,100,82,0.7253904342651367,normal,7,1
0,8,64,1.4957678318023682,normal,8,2
1,17,76,1.3524525165557861,normal,9,2
2,24,62,1.319157600402832,normal,7,2
3,33,81,1.688601016998291,normal,9,2
4,42,62,1.6292600631713867,normal,9,2
5,53,61,1.7262060642242432,normal,11,2
6,61,91,0.9056048393249512,normal,8,2
7,70,68,1.0452704429626465,normal,9,2
8,76,77,0.7289009094238281,normal,6,2
9,83,95,0.7978944778442383,normal,7,2
10,89,67,0.697718620300293,normal,6,2
11,100,60,1.5336370468139648,normal,11,2
0,7,77,1.3019721508026123,normal,7,3
1,15,69,1.301081895828247,normal,8,3
2,23,66,1.2281699180603027,normal,8,3
3,30,90,0.8630595207214355,normal,7,3
4,38,61,0.9008550643920898,normal,8,3
5,45,67,0.9739124774932861,normal,7,3
6,51,69,1.103581190109253,normal,6,3
7,62,80,1.9295623302459717,normal,11,3
8,68,73,1.1272187232971191,normal,6,3
9,75,65,0.9112863540649414,normal,7,3
10,82,59,1.1143667697906494,normal,7,3
11,90,63,1.5260906219482422,normal,8,3
12,98,58,1.05613112449646,normal,8,3
13,100,149,0.21461939811706543,normal,2,3
0,7,69,1.3055572509765625,normal,7,4
1,15,86,1.502265214920044,normal,8,4
2,22,87,1.327016830444336,normal,7,4
3,33,75,1.7856805324554443,normal,11,4
4,43,68,1.3128674030303955,normal,10,4
5,56,77,1.6220104694366455,normal,13,4
6,63,75,1.3103554248809814,normal,7,4
7,70,68,1.3080694675445557,normal,7,4
8,77,61,0.8600220680236816,normal,7,4
9,88,58,1.4724128246307373,normal,11,4
10,98,74,1.334385633468628,normal,10,4
11,100,161,0.20955610275268555,normal,2,4
0,7,75,0.9358067512512207,normal,7,5
1,17,67,1.2832520008087158,normal,10,5
2,29,76,1.5021960735321045,normal,12,5
3,37,79,0.9065811634063721,normal,8,5
4,43,82,0.7053773403167725,normal,6,5
5,50,79,0.9567561149597168,normal,7,5
6,57,83,1.3213891983032227,normal,7,5
7,64,55,1.3216183185577393,normal,7,5
8,74,108,1.8721468448638916,normal,10,5
9,80,93,1.1308391094207764,normal,6,5
10,86,80,0.6912572383880615,normal,6,5
11,94,79,0.9550402164459229,normal,8,5
12,100,44,0.757197380065918,normal,6,5
0,9,47,1.125812292098999,normal,9,6
1,18,89,1.254702091217041,normal,9,6
2,24,70,0.6792442798614502,normal,6,6
3,34,73,1.1282987594604492,normal,10,6
4,42,47,1.195460557937622,normal,8,6
5,52,63,1.8852126598358154,normal,10,6
6,62,56,1.8464105129241943,normal,10,6
7,71,65,1.0498921871185303,normal,9,6
8,79,46,0.9034969806671143,normal,8,6
9,87,73,1.349757194519043,normal,8,6
10,94,74,1.330387830734253,normal,7,6
11,100,75,0.903151273727417,normal,6,6
0,7,57,1.3005790710449219,normal,7,7
1,12,101,0.9417080879211426,normal,5,7
2,19,84,1.3016278743743896,normal,7,7
3,26,61,1.3399124145507812,normal,7,7
4,36,49,1.8903348445892334,normal,10,7
5,45,80,1.694789171218872,normal,9,7
6,52,77,1.3122684955596924,normal,7,7
7,63,54,2.079874038696289,normal,11,7
8,70,74,1.3213913440704346,normal,7,7
9,79,73,1.4020214080810547,normal,9,7
10,84,85,0.5316982269287109,normal,5,7
11,92,66,0.8501777648925781,normal,8,7
12,99,77,0.69169020652771,normal,7,7
13,100,303,0.10059809684753418,normal,1,7
0,8,67,1.4506216049194336,normal,8,8
1,15,110,1.2134394645690918,normal,7,8
2,26,70,1.5035817623138428,normal,11,8
3,32,86,0.8753979206085205,normal,6,8
4,40,71,0.9802470207214355,normal,8,8
5,48,77,0.9787838459014893,normal,8,8
6,55,79,1.0114545822143555,normal,7,8
7,62,85,1.0961413383483887,normal,7,8
8,69,69,1.1109189987182617,normal,7,8
9,77,67,0.9081406593322754,normal,8,8
10,83,60,0.6877551078796387,normal,6,8
11,92,63,1.6126677989959717,normal,9,8
12,100,95,1.0914645195007324,normal,8,8
0,7,51,1.3129160404205322,normal,7,9
1,15,49,1.102952480316162,normal,8,9
2,24,82,1.5650761127471924,normal,9,9
3,31,78,1.3288633823394775,normal,7,9
4,41,63,1.437861680984497,normal,10,9
5,48,75,0.8370332717895508,normal,7,9
6,58,67,1.2564966678619385,normal,10,9
7,67,75,1.5352296829223633,normal,9,9
8,79,99,2.236539840698242,normal,12,9
9,87,74,1.1225056648254395,normal,8,9
10,95,89,0.8769664764404297,normal,8,9
11,100,95,0.5296111106872559,normal,5,9
0,6,99,0.784005880355835,normal,6,10
1,14,61,0.9382100105285645,normal,8,10
2,21,84,1.2973759174346924,normal,7,10
3,33,57,2.261273145675659,normal,12,10
4,41,59,1.50370454788208,normal,8,10
5,50,62,1.4964871406555176,normal,9,10
6,59,66,1.3586909770965576,normal,9,10
7,65,63,1.1123957633972168,normal,6,10
8,75,75,1.8915536403656006,normal,10,10
9,82,48,1.085892677307129,normal,7,10
10,89,81,0.9230225086212158,normal,7,10
11,99,81,1.0676991939544678,normal,10,10
12,100,303,0.10237336158752441,normal,1,10
0,9,77,1.560368299484253,normal,9,11
1,16,74,1.3117549419403076,normal,7,11
2,24,63,1.5110063552856445,normal,8,11
3,33,69,1.7029194831848145,normal,9,11
4,42,70,1.6990954875946045,normal,9,11
5,49,59,1.2129461765289307,normal,7,11
6,57,81,0.9033634662628174,normal,8,11
7,66,72,1.4101145267486572,normal,9,11
8,75,79,1.1117372512817383,normal,9,11
9,82,60,1.228743553161621,normal,7,11
10,90,69,1.2660577297210693,normal,8,11
11,99,67,0.9243245124816895,normal,9,11
12,100,292,0.10065579414367676,normal,1,11
0,10,58,1.822676658630371,normal,10,12
1,17,116,1.1163723468780518,normal,7,12
2,26,55,1.551285743713379,normal,9,12
3,33,72,1.2278938293457031,normal,7,12
4,41,67,1.5227670669555664,normal,8,12
5,48,75,1.3445453643798828,normal,7,12
6,55,70,1.333808422088623,normal,7,12
7,63,63,1.227992057800293,normal,8,12
8,70,63,1.1626904010772705,normal,7,12
9,79,72,1.6885089874267578,normal,9,12
10,89,52,1.7049369812011719,normal,10,12
11,95,87,0.7731993198394775,normal,6,12
12,100,100,0.570885419845581,normal,5,12
0,7,74,0.9692482948303223,normal,7,13
1,16,47,1.6043310165405273,normal,9,13
2,26,61,1.6369094848632812,normal,10,13
3,33,78,1.1350030899047852,normal,7,13
4,40,78,1.2434983253479004,normal,7,13
5,47,73,0.9650020599365234,normal,7,13
6,56,75,1.716379165649414,normal,9,13
7,65,56,1.6699368953704834,normal,9,13
8,74,88,1.707101821899414,normal,9,13
9,84,66,1.8849458694458008,normal,10,13
10,93,71,1.6209282875061035,normal,9,13
11,100,69,0.9666035175323486,normal,7,13
0,13,66,2.4641764163970947,normal,13,14
1,21,78,1.5311317443847656,normal,8,14
2,30,82,1.7177891731262207,normal,9,14
3,37,75,1.3281769752502441,normal,7,14
4,47,61,1.8066184520721436,normal,10,14
5,54,85,1.198549747467041,normal,7,14
6,61,82,1.1669752597808838,normal,7,14
7,68,71,1.330909252166748,normal,7,14
8,76,74,1.5249183177947998,normal,8,14
9,84,69,1.528266191482544,normal,8,14
10,91,58,1.2091615200042725,normal,7,14
11,98,78,0.744401216506958,normal,7,14
12,100,146,0.1995859146118164,normal,2,14
0,7,80,1.0749056339263916,normal,7,15
1,18,52,1.395218849182129,normal,11,15
2,29,55,2.0277562141418457,normal,11,15
3,36,86,1.2763996124267578,normal,7,15
4,46,67,1.7331151962280273,normal,10,15
5,52,92,1.142289638519287,normal,6,15
6,59,78,1.3405182361602783,normal,7,15
7,67,82,1.2119972705841064,normal,8,15
8,75,73,1.4217991828918457,normal,8,15
9,81,67,1.1483709812164307,normal,6,15
10,90,67,1.2313172817230225,normal,9,15
11,98,75,1.5275743007659912,normal,8,15
12,100,187,0.38134121894836426,normal,2,15
0,11,73,1.9621202945709229,normal,11,16
1,20,64,1.409020185470581,normal,9,16
2,29,68,1.6084098815917969,normal,9,16
3,39,80,1.6110429763793945,normal,10,16
4,47,70,0.9689836502075195,normal,8,16
5,54,60,1.2086117267608643,normal,7,16
6,63,54,1.6964540481567383,normal,9,16
7,71,85,1.2296173572540283,normal,8,16
8,79,74,0.9666824340820312,normal,8,16
9,85,68,0.707686185836792,normal,6,16
10,92,66,0.9465808868408203,normal,7,16
11,100,53,1.3736228942871094,normal,8,16
0,10,67,1.706533432006836,normal,10,17
1,17,79,1.174046516418457,normal,7,17
2,24,67,1.3517794609069824,normal,7,17
3,33,76,1.4839556217193604,normal,9,17
4,41,63,0.9942960739135742,normal,8,17
5,47,75,0.685291051864624,normal,6,17
6,55,77,0.9469437599182129,normal,8,17
7,63,68,1.073718547821045,normal,8,17
8,72,64,1.694735050201416,normal,9,17
9,81,78,1.7175579071044922,normal,9,17
10,91,76,1.6060385704040527,normal,10,17
11,99,60,1.2632396221160889,normal,8,17
12,100,292,0.19231319427490234,normal,1,17
0,11,69,2.0483245849609375,normal,11,18
1,22,75,1.7862191200256348,normal,11,18
2,31,67,1.6948597431182861,normal,9,18
3,39,45,1.5138378143310547,normal,8,18
4,50,58,1.7891154289245605,normal,11,18
5,57,58,1.0088274478912354,normal,7,18
6,69,76,2.125305414199829,normal,12,18
7,76,89,1.2844460010528564,normal,7,18
8,84,71,1.512096881866455,normal,8,18
9,92,77,1.3187382221221924,normal,8,18
10,99,78,0.806147575378418,normal,7,18
11,100,285,0.1157078742980957,normal,1,18
0,7,57,1.3566341400146484,normal,7,19
1,14,70,1.3178138732910156,normal,7,19
2,24,79,1.8149676322937012,normal,10,19
3,33,61,1.3632621765136719,normal,9,19
4,43,68,1.8840370178222656,normal,10,19
5,51,64,1.3983566761016846,normal,8,19
6,61,52,1.890566110610962,normal,10,19
7,68,76,1.171522617340088,normal,7,19
8,78,75,1.1679127216339111,normal,10,19
9,86,70,0.9328477382659912,normal,8,19
10,91,71,0.6294214725494385,normal,5,19
11,100,88,1.528998613357544,normal,9,19
0,11,37,1.544076681137085,normal,11,20
1,19,55,1.521026372909546,normal,8,20
2,28,52,1.7211220264434814,normal,9,20
3,36,65,1.1327271461486816,normal,8,20
4,44,77,1.1820902824401855,normal,8,20
5,52,69,1.3431766033172607,normal,8,20
6,58,79,0.9080109596252441,normal,6,20
7,67,59,1.7211830615997314,normal,9,20
8,72,77,0.9740231037139893,normal,5,20
9,81,72,1.7063722610473633,normal,9,20
10,88,80,1.353297233581543,normal,7,20
11,96,78,1.3308236598968506,normal,8,20
12,100,115,0.5680551528930664,normal,4,20
0,7,83,1.3218867778778076,normal,7,21
1,15,70,1.3328306674957275,normal,8,21
2,24,78,1.7238962650299072,normal,9,21
3,32,57,1.515655517578125,normal,8,21
4,40,60,1.4038429260253906,normal,8,21
5,47,61,1.2106513977050781,normal,7,21
6,53,52,0.862767219543457,normal,6,21
7,60,72,0.8711190223693848,normal,7,21
8,67,79,1.0410950183868408,normal,7,21
9,77,84,1.6761994361877441,normal,10,21
10,86,68,1.7229764461517334,normal,9,21
11,94,90,1.4771392345428467,normal,8,21
12,100,90,0.7258477210998535,normal,6,21
0,8,70,1.1677560806274414,normal,8,22
1,13,84,0.9493446350097656,normal,5,22
2,20,82,1.251267433166504,normal,7,22
3,27,71,0.9601573944091797,normal,7,22
4,40,63,2.4213778972625732,normal,13,22
5,48,95,1.2961292266845703,normal,8,22
6,56,66,1.4086508750915527,normal,8,22
7,62,70,1.1311068534851074,normal,6,22
8,71,62,1.5460808277130127,normal,9,22
9,82,69,1.5337581634521484,normal,11,22
10,91,59,1.7075538635253906,normal,9,22
11,99,61,1.4875543117523193,normal,8,22
12,100,298,0.14080548286437988,normal,1,22
0,8,85,1.550766944885254,normal,8,23
1,18,66,1.4175925254821777,normal,10,23
2,33,78,2.2483646869659424,normal,15,23
3,41,59,1.5199551582336426,normal,8,23
4,48,76,1.3368756771087646,normal,7,23
5,55,64,1.3439393043518066,normal,7,23
6,62,52,1.313328742980957,normal,7,23
7,70,67,1.448199987411499,normal,8,23
8,77,71,1.1151149272918701,normal,7,23
9,84,73,1.3406295776367188,normal,7,23
10,93,60,1.1386995315551758,normal,9,23
11,99,70,0.9120755195617676,normal,6,23
12,100,263,0.1152658462524414,normal,1,23
0,7,60,1.305173635482788,normal,7,24
1,20,78,2.098252296447754,normal,13,24
2,26,108,1.1687896251678467,normal,6,24
3,34,53,1.222447395324707,normal,8,24
4,44,65,1.7415218353271484,normal,10,24
5,50,66,1.1550908088684082,normal,6,24
6,59,59,1.3327734470367432,normal,9,24
7,67,55,1.5465939044952393,normal,8,24
8,75,78,1.58256196975708,normal,8,24
9,84,58,1.7260987758636475,normal,9,24
10,90,91,1.105391502380371,normal,6,24
11,100,61,1.1328060626983643,normal,10,24
